year_range,country_index,country,population_t-2,gdp_t-2,primary_energy_consumption_t-2,cement_co2_t-2,coal_co2_t-2,flaring_co2_t-2,gas_co2_t-2,land_use_change_co2_t-2,oil_co2_t-2,co2_including_luc_t-2,population_t-1,gdp_t-1,primary_energy_consumption_t-1,cement_co2_t-1,coal_co2_t-1,flaring_co2_t-1,gas_co2_t-1,land_use_change_co2_t-1,oil_co2_t-1,co2_including_luc_t-1,co2_including_luc_t+1
1992-1992,China,China,1153704192.0,3385121670000.0,7938.249,84.513,1976.684,0.0,29.301,1368.074,330.291,3852.928,1170626176.0,3508947858611.704,8337.61,101.305,2049.92,0.0,30.778,1013.113,356.027,3619.209,3785.728
1993-1993,China,China,1170626176.0,3508947858611.704,8337.61,101.305,2049.92,0.0,30.778,1013.113,356.027,3619.209,1183813376.0,3755037526742.155,8773.708,122.445,2114.715,0.0,30.239,1054.941,385.793,3785.728,4008.885
1994-1994,China,China,1183813376.0,3755037526742.155,8773.708,122.445,2114.715,0.0,30.239,1054.941,385.793,3785.728,1195855616.0,4126169557030.082,9457.634,142.774,2228.745,0.0,35.728,1087.234,428.549,4008.885,4303.095
1995-1995,China,China,1195855616.0,4126169557030.082,9457.634,142.774,2228.745,0.0,35.728,1087.234,428.549,4008.885,1207286656.0,4438753414215.048,10048.812,164.377,2380.586,3.737,41.568,1199.356,423.712,4303.095,4453.87
1996-1996,China,China,1207286656.0,4438753414215.048,10048.812,164.377,2380.586,3.737,41.568,1199.356,423.712,4303.095,1218144384.0,4810000038087.688,10352.658,184.637,2569.754,3.728,42.436,1092.233,468.23,4453.87,4652.544
1997-1997,China,China,1218144384.0,4810000038087.688,10352.658,184.637,2569.754,3.728,42.436,1092.233,468.23,4453.87,1228298880.0,5127589650603.525,10907.449,192.853,2660.401,5.584,44.47,1143.726,510.622,4652.544,4659.896
1998-1998,China,China,1228298880.0,5127589650603.525,10907.449,192.853,2660.401,5.584,44.47,1143.726,510.622,4652.544,1237801472.0,5291338875305.675,10981.134,202.874,2609.556,5.425,44.159,1144.301,557.961,4659.896,4430.843
1999-1999,China,China,1237801472.0,5291338875305.675,10981.134,202.874,2609.556,5.425,44.159,1144.301,557.961,4659.896,1246836096.0,5338703030195.93,11000.566,211.369,2444.771,4.132,50.501,1066.255,559.262,4430.843,4461.806
2000-2000,China,China,1246836096.0,5338703030195.93,11000.566,211.369,2444.771,4.132,50.501,1066.255,559.262,4430.843,1255433216.0,5578502882830.346,11386.067,228.322,2580.992,4.433,54.572,904.531,596.751,4461.806,4320.913
2001-2001,China,China,1255433216.0,5578502882830.346,11386.067,228.322,2580.992,4.433,54.572,904.531,596.751,4461.806,1264099072.0,5952682267478.983,11800.283,244.388,2601.737,4.737,59.796,671.712,648.686,4320.913,4308.903
2002-2002,China,China,1264099072.0,5952682267478.983,11800.283,244.388,2601.737,4.737,59.796,671.712,648.686,4320.913,1272739584.0,6329737252351.483,12470.062,270.828,2637.655,4.783,67.157,580.39,659.3,4308.903,4596.373
2003-2003,China,China,1272739584.0,6329737252351.483,12470.062,270.828,2637.655,4.783,67.157,580.39,659.3,4308.903,1280926080.0,6814493702583.538,13580.49,282.688,3018.634,4.486,53.993,493.33,653.086,4596.373,5362.1
2004-2004,China,China,1280926080.0,6814493702583.538,13580.49,282.688,3018.634,4.486,53.993,493.33,653.086,4596.373,1288873344.0,7248622675468.963,15818.756,353.679,3601.712,5.18,60.745,520.981,727.099,5362.1,5825.695
2005-2005,China,China,1288873344.0,7248622675468.963,15818.756,353.679,3601.712,5.18,60.745,520.981,727.099,5362.1,1296816768.0,7830952987789.932,18509.135,368.396,3835.288,5.192,71.521,608.344,839.093,5825.695,6268.588
2006-2006,China,China,1296816768.0,7830952987789.932,18509.135,368.396,3835.288,5.192,71.521,608.344,839.093,5825.695,1304887552.0,8602939963887.271,21027.164,411.649,4424.39,5.588,84.957,386.445,850.173,6268.588,6898.949
2007-2007,China,China,1304887552.0,8602939963887.271,21027.164,411.649,4424.39,5.588,84.957,386.445,850.173,6268.588,1313086592.0,9489543075488.268,23048.367,470.087,4905.374,5.534,103.753,404.611,898.534,6898.949,7342.994
2008-2008,China,China,1313086592.0,9489543075488.268,23048.367,470.087,4905.374,5.534,103.753,404.611,898.534,6898.949,1321513216.0,10358205958547.176,25049.293,514.981,5289.904,4.965,129.515,359.417,927.351,7342.994,7854.141
2009-2009,China,China,1321513216.0,10358205958547.176,25049.293,514.981,5289.904,4.965,129.515,359.417,927.351,7342.994,1330167168.0,10799148306451.049,26019.0,525.924,5729.474,4.666,149.674,352.643,970.117,7854.141,8248.937
2010-2010,China,China,1330167168.0,10799148306451.049,26019.0,525.924,5729.474,4.666,149.674,352.643,970.117,7854.141,1339125632.0,11572543736341.38,27158.898,583.56,6028.5,4.557,164.404,357.847,982.348,8248.937,8631.894
2011-2011,China,China,1339125632.0,11572543736341.38,27158.898,583.56,6028.5,4.557,164.404,357.847,982.348,8248.937,1348191360.0,12858807557375.758,29055.609,639.592,6568.793,3.974,199.585,11.268,1092.572,8631.894,9593.182
2012-2012,China,China,1348191360.0,12858807557375.758,29055.609,639.592,6568.793,3.974,199.585,11.268,1092.572,8631.894,1357095424.0,13691527058279.998,31336.535,708.564,7309.786,3.853,245.99,60.772,1123.859,9593.182,9837.238
2013-2013,China,China,1357095424.0,13691527058279.998,31336.535,708.564,7309.786,3.853,245.99,60.772,1123.859,9593.182,1366560768.0,14773157696320.137,32624.225,714.782,7464.806,3.733,277.599,57.883,1176.712,9837.238,10002.81
2014-2014,China,China,1366560768.0,14773157696320.137,32624.225,714.782,7464.806,3.733,277.599,57.883,1176.712,9837.238,1376100352.0,15925463991845.867,33852.562,748.323,7493.454,3.632,320.127,46.434,1234.622,10002.81,10441.911
2015-2015,China,China,1376100352.0,15925463991845.867,33852.562,748.323,7493.454,3.632,320.127,46.434,1234.622,10002.81,1385189632.0,17103948327082.293,34729.508,778.627,7425.067,3.93,370.222,443.237,1255.605,10441.911,10242.954
2016-2016,China,China,1385189632.0,17103948327082.293,34729.508,778.627,7425.067,3.93,370.222,443.237,1255.605,10441.911,1393715456.0,18301224717452.55,35134.855,721.995,7266.979,3.901,380.052,376.002,1328.805,10242.954,9978.354
2017-2017,China,China,1393715456.0,18301224717452.55,35134.855,721.995,7266.979,3.901,380.052,376.002,1328.805,10242.954,1401889664.0,19545707998702.027,35278.277,743.044,7071.404,3.09,421.726,213.326,1357.838,9978.354,10472.555
2018-2018,China,China,1401889664.0,19545707998702.027,35278.277,743.044,7071.404,3.09,421.726,213.326,1357.838,9978.354,1410275968.0,20894361849340.027,36649.703,758.185,7163.318,2.969,486.359,461.403,1430.587,10472.555,11050.448
2019-2019,China,China,1410275968.0,20894361849340.027,36649.703,758.185,7163.318,2.969,486.359,461.403,1430.587,10472.555,1417069440.0,22294284089099.24,38415.93,786.745,7316.4,3.408,575.369,696.514,1500.474,11050.448,11471.032
2020-2020,China,China,1417069440.0,22294284089099.24,38415.93,786.745,7316.4,3.408,575.369,696.514,1500.474,11050.448,1421864064.0,23631941133377.406,40206.684,826.876,7523.17,3.839,630.171,749.99,1559.728,11471.032,11743.429
2021-2021,China,China,1421864064.0,23631941133377.406,40206.684,826.876,7523.17,3.839,630.171,749.99,1559.728,11471.032,1424929792.0,24151843838525.27,41513.812,858.233,7679.546,5.17,676.473,829.416,1523.052,11743.429,12240.529
2022-2022,China,China,1424929792.0,24151843838525.27,41513.812,858.233,7679.546,5.17,676.473,829.416,1523.052,11743.429,1425893504.0,26180598719751.23,43873.07,851.974,7979.436,4.812,764.102,904.296,1564.37,12240.529,12378.281
1992-1992,Germany,Germany,79370192.0,2015547584054.0,4192.642,15.297,569.117,3.841,122.282,-39.965,333.267,1014.775,79801984.0,2141316275284.2344,4090.643,13.741,504.043,3.619,130.146,-40.577,355.252,976.293,950.103
1993-1993,Germany,Germany,79801984.0,2141316275284.2344,4090.643,13.741,504.043,3.619,130.146,-40.577,355.252,976.293,80205024.0,2204952386036.203,4009.338,14.444,454.311,3.54,129.37,-19.371,357.921,950.103,944.012
1994-1994,Germany,Germany,80205024.0,2204952386036.203,4009.338,14.444,454.311,3.54,129.37,-19.371,357.921,950.103,80573496.0,2206290839038.913,3991.526,14.531,430.776,3.318,136.288,-15.356,364.574,944.012,927.707
1995-1995,Germany,Germany,80573496.0,2206290839038.913,3991.526,14.531,430.776,3.318,136.288,-15.356,364.574,944.012,80882120.0,2283952741453.933,3954.172,15.341,418.185,3.22,142.15,-15.478,353.769,927.707,921.047
1996-1996,Germany,Germany,80882120.0,2283952741453.933,3954.172,15.341,418.185,3.22,142.15,-15.478,353.769,927.707,81123264.0,2347761273167.4883,3974.795,15.562,406.046,3.06,152.97,-18.85,351.664,921.047,940.433
1997-1997,Germany,Germany,81123264.0,2347761273167.4883,3974.795,15.562,406.046,3.06,152.97,-18.85,351.664,921.047,81300864.0,2391519661884.361,4105.846,14.811,400.612,3.213,169.956,-19.221,361.019,940.433,916.53
1998-1998,Germany,Germany,81300864.0,2391519661884.361,4105.846,14.811,400.612,3.213,169.956,-19.221,361.019,940.433,81436096.0,2461046189510.3667,4053.187,15.275,386.864,3.239,162.878,-14.956,353.047,916.53,903.923
1999-1999,Germany,Germany,81436096.0,2461046189510.3667,4053.187,15.275,386.864,3.239,162.878,-14.956,353.047,916.53,81524384.0,2535903730461.1104,4019.631,15.545,377.48,3.168,165.378,-19.544,351.882,903.923,874.4
2000-2000,Germany,Germany,81524384.0,2535903730461.1104,4019.631,15.545,377.48,3.168,165.378,-19.544,351.882,903.923,81556968.0,2613176603036.141,3963.56,15.771,360.052,3.113,165.627,-21.002,340.806,874.4,878.691
2001-2001,Germany,Germany,81556968.0,2613176603036.141,3963.56,15.771,360.052,3.113,165.627,-21.002,340.806,874.4,81551680.0,2718560408621.5728,3988.179,15.253,373.46,2.992,166.421,-20.247,330.737,878.691,894.052
2002-2002,Germany,Germany,81551680.0,2718560408621.5728,3988.179,15.253,373.46,2.992,166.421,-20.247,330.737,878.691,81514568.0,2793372810204.8223,4062.799,13.504,376.52,2.97,173.8,-21.19,338.856,894.052,882.237
2003-2003,Germany,Germany,81514568.0,2793372810204.8223,4062.799,13.504,376.52,2.97,173.8,-21.19,338.856,894.052,81443424.0,2822441757886.9287,4011.723,12.823,375.786,2.966,173.61,-16.598,324.412,882.237,886.139
2004-2004,Germany,Germany,81443424.0,2822441757886.9287,4011.723,12.823,375.786,2.966,173.61,-16.598,324.412,882.237,81346808.0,2831675982126.5684,4010.471,13.507,379.524,3.003,174.859,-13.72,319.712,886.139,871.898
2005-2005,Germany,Germany,81346808.0,2831675982126.5684,4010.471,13.507,379.524,3.003,174.859,-13.72,319.712,886.139,81266672.0,2894624832853.845,4009.893,14.068,375.978,2.928,173.344,-13.734,310.181,871.898,849.308
2006-2006,Germany,Germany,81266672.0,2894624832853.845,4009.893,14.068,375.978,2.928,173.344,-13.734,310.181,871.898,81212168.0,2945461106151.811,3962.631,13.05,363.226,2.954,173.416,-16.163,304.012,849.308,863.19
2007-2007,Germany,Germany,81212168.0,2945461106151.811,3962.631,13.05,363.226,2.954,173.416,-16.163,304.012,849.308,81177816.0,3086359027851.9297,4062.384,13.34,369.583,3.069,178.383,-14.307,304.138,863.19,837.065
2008-2008,Germany,Germany,81177816.0,3086359027851.9297,4062.384,13.34,369.583,3.069,178.383,-14.307,304.138,863.19,81183832.0,3220275782477.8364,3893.425,14.449,379.374,2.989,174.428,-13.165,269.802,837.065,839.342
2009-2009,Germany,Germany,81183832.0,3220275782477.8364,3893.425,14.449,379.374,2.989,174.428,-13.165,269.802,837.065,81217488.0,3289020458985.8726,3934.661,13.579,356.208,2.945,179.821,-13.516,291.228,839.342,771.523
2010-2010,Germany,Germany,81217488.0,3289020458985.8726,3934.661,13.579,356.208,2.945,179.821,-13.516,291.228,839.342,81260624.0,3136502149277.069,3692.18,12.559,317.893,2.575,167.4,-16.763,280.159,771.523,818.476
2011-2011,Germany,Germany,81260624.0,3136502149277.069,3692.18,12.559,317.893,2.575,167.4,-16.763,280.159,771.523,81325088.0,3301123263613.155,3847.15,12.431,343.352,2.582,183.991,-12.653,280.447,818.476,793.163
2012-2012,Germany,Germany,81325088.0,3301123263613.155,3847.15,12.431,343.352,2.582,183.991,-12.653,280.447,818.476,81423384.0,3467713048620.0,3710.586,13.393,344.685,2.673,168.397,-14.451,269.85,793.163,803.035
2013-2013,Germany,Germany,81423384.0,3467713048620.0,3710.586,13.393,344.685,2.673,168.397,-14.451,269.85,793.163,81545568.0,3482225436872.4907,3761.915,13.289,349.791,2.657,168.05,-9.781,270.706,803.035,825.475
2014-2014,Germany,Germany,81545568.0,3482225436872.4907,3761.915,13.289,349.791,2.657,168.05,-9.781,270.706,803.035,81680592.0,3497463285895.838,3868.519,12.503,356.89,2.689,170.536,-8.329,282.552,825.475,788.546
2015-2015,Germany,Germany,81680592.0,3497463285895.838,3868.519,12.503,356.89,2.689,170.536,-8.329,282.552,825.475,81858824.0,3574741339921.3643,3710.461,12.905,344.857,2.478,152.279,-6.192,273.335,788.546,790.941
2016-2016,Germany,Germany,81858824.0,3574741339921.3643,3710.461,12.905,344.857,2.478,152.279,-6.192,273.335,788.546,82073232.0,3628073968682.709,3780.858,12.626,341.028,2.374,157.466,-7.144,275.835,790.941,796.912
2017-2017,Germany,Germany,82073232.0,3628073968682.709,3780.858,12.626,341.028,2.374,157.466,-7.144,275.835,790.941,82331432.0,3708979999145.128,3842.884,12.663,329.449,2.34,169.476,-4.832,279.118,796.912,781.653
2018-2018,Germany,Germany,82331432.0,3708979999145.128,3842.884,12.663,329.449,2.34,169.476,-4.832,279.118,796.912,82624368.0,3808389311104.715,3892.673,13.408,310.775,2.26,171.428,-4.333,279.439,781.653,745.749
2019-2019,Germany,Germany,82624368.0,3808389311104.715,3892.673,13.408,310.775,2.26,171.428,-4.333,279.439,781.653,82896696.0,3845758410751.44,3795.127,13.228,295.686,1.998,169.574,-9.062,265.495,745.749,698.699
2020-2020,Germany,Germany,82896696.0,3845758410751.44,3795.127,13.228,295.686,1.998,169.574,-9.062,265.495,745.749,83148144.0,3886392818590.415,3697.411,13.287,240.115,2.019,172.524,-8.792,271.031,698.699,638.599
2021-2021,Germany,Germany,83148144.0,3886392818590.415,3697.411,13.287,240.115,2.019,172.524,-8.792,271.031,698.699,83328992.0,3742721122354.9614,3447.96,13.357,198.559,1.806,171.058,-8.653,254.431,638.599,670.441
2022-2022,Germany,Germany,83328992.0,3742721122354.9614,3447.96,13.357,198.559,1.806,171.058,-8.653,254.431,638.599,83408560.0,3841041954386.381,3549.456,13.64,232.334,1.831,179.755,-8.358,242.793,670.441,657.516
1992-1992,India,India,870452160.0,1750993000000.0,2300.701,22.348,366.514,9.871,21.097,173.899,158.167,751.895,888941760.0,1768493541134.4194,2427.663,24.503,393.043,7.834,23.563,135.573,166.423,750.938,822.253
1993-1993,India,India,888941760.0,1768493541134.4194,2427.663,24.503,393.043,7.834,23.563,135.573,166.423,750.938,907574080.0,1851711553053.168,2552.772,25.156,411.414,3.565,27.256,166.806,188.055,822.253,807.224
1994-1994,India,India,907574080.0,1851711553053.168,2552.772,25.156,411.414,3.565,27.256,166.806,188.055,822.253,926351296.0,1944353935577.2017,2616.248,26.602,433.121,3.701,26.996,129.925,186.879,807.224,832.41
1995-1995,India,India,926351296.0,1944353935577.2017,2616.248,26.602,433.121,3.701,26.996,129.925,186.879,807.224,945261952.0,2055026561101.048,2757.121,28.54,455.72,1.852,28.997,118.346,198.955,832.41,844.724
1996-1996,India,India,945261952.0,2055026561101.048,2757.121,28.54,455.72,1.852,28.997,118.346,198.955,832.41,964279104.0,2189535899268.4392,2963.118,31.104,471.723,2.303,39.051,84.262,216.281,844.724,986.403
1997-1997,India,India,964279104.0,2189535899268.4392,2963.118,31.104,471.723,2.303,39.051,84.262,216.281,844.724,983281216.0,2345228633235.7017,3081.631,34.079,504.498,2.136,39.747,162.783,243.16,986.403,959.593
1998-1998,India,India,983281216.0,2345228633235.7017,3081.631,34.079,504.498,2.136,39.747,162.783,243.16,986.403,1002335232.0,2426804741564.027,3252.01,37.418,527.722,2.645,46.024,101.582,244.202,959.593,970.564
1999-1999,India,India,1002335232.0,2426804741564.027,3252.01,37.418,527.722,2.645,46.024,101.582,244.202,959.593,1021434560.0,2567853072025.03,3449.497,39.026,524.125,2.133,47.595,94.791,262.892,970.564,1035.574
2000-2000,India,India,1021434560.0,2567853072025.03,3449.497,39.026,524.125,2.133,47.595,94.791,262.892,970.564,1040500032.0,2710352899642.8384,3549.489,44.592,560.528,2.048,42.316,85.114,300.976,1035.574,1168.695
2001-2001,India,India,1040500032.0,2710352899642.8384,3549.489,44.592,560.528,2.048,42.316,85.114,300.976,1035.574,1059633664.0,2804478482984.145,3728.514,45.957,572.876,1.973,43.873,191.169,312.847,1168.695,1132.352
2002-2002,India,India,1059633664.0,2804478482984.145,3728.514,45.957,572.876,1.973,43.873,191.169,312.847,1168.695,1078970880.0,2940745559129.762,3743.853,46.74,582.083,1.857,43.569,141.383,316.721,1132.352,1108.092
2003-2003,India,India,1078970880.0,2940745559129.762,3743.853,46.74,582.083,1.857,43.569,141.383,316.721,1132.352,1098313088.0,3024984745054.45,3865.751,49.111,598.597,1.602,47.134,86.428,325.22,1108.092,1172.229
2004-2004,India,India,1098313088.0,3024984745054.45,3865.751,49.111,598.597,1.602,47.134,86.428,325.22,1108.092,1117415168.0,3251114229338.8423,4004.078,50.88,625.89,1.787,49.988,113.07,330.615,1172.229,1196.999
2005-2005,India,India,1117415168.0,3251114229338.8423,4004.078,50.88,625.89,1.787,49.988,113.07,330.615,1172.229,1136264576.0,3495022980444.752,4347.582,55.545,669.968,1.765,49.585,71.903,348.234,1196.999,1228.745
2006-2006,India,India,1136264576.0,3495022980444.752,4347.582,55.545,669.968,1.765,49.585,71.903,348.234,1196.999,1154638720.0,3752627778148.986,4603.61,59.687,721.469,1.704,50.439,43.071,352.376,1228.745,1331.424
2007-2007,India,India,1154638720.0,3752627778148.986,4603.61,59.687,721.469,1.704,50.439,43.071,352.376,1228.745,1172373760.0,4069855789009.416,4849.72,64.905,773.564,1.741,82.58,38.939,369.694,1331.424,1486.842
2008-2008,India,India,1172373760.0,4069855789009.416,4849.72,64.905,773.564,1.741,82.58,38.939,369.694,1331.424,1189691776.0,4403215152816.854,5263.111,68.333,842.477,1.842,87.956,94.336,391.897,1486.842,1637.771
2009-2009,India,India,1189691776.0,4403215152816.854,5263.111,68.333,842.477,1.842,87.956,94.336,391.897,1486.842,1206734848.0,4649548338809.07,5570.697,73.245,910.795,1.888,90.277,148.334,413.233,1637.771,1695.097
2010-2010,India,India,1206734848.0,4649548338809.07,5570.697,73.245,910.795,1.888,90.277,148.334,413.233,1637.771,1223640192.0,4993478622633.484,5986.512,81.268,983.947,1.879,112.463,82.88,432.66,1695.097,1795.778
2011-2011,India,India,1223640192.0,4993478622633.484,5986.512,81.268,983.947,1.879,112.463,82.88,432.66,1695.097,1240613632.0,5361371111075.972,6244.97,86.029,1015.983,1.704,134.121,118.441,439.5,1795.778,1862.452
2012-2012,India,India,1240613632.0,5361371111075.972,6244.97,86.029,1015.983,1.704,134.121,118.441,439.5,1795.778,1257621248.0,5720692792640.0,6586.134,91.314,1074.385,2.648,136.26,97.74,460.104,1862.452,2086.577
2013-2013,India,India,1257621248.0,5720692792640.0,6586.134,91.314,1074.385,2.648,136.26,97.74,460.104,1862.452,1274487168.0,6052427547157.702,6942.567,100.237,1206.452,3.592,125.605,160.877,489.814,2086.577,2212.392
2014-2014,India,India,1274487168.0,6052427547157.702,6942.567,100.237,1206.452,3.592,125.605,160.877,489.814,2086.577,1291132032.0,6424471175678.848,7172.946,107.82,1276.383,3.266,110.689,217.294,496.94,2212.392,2247.754
2015-2015,India,India,1291132032.0,6424471175678.848,7172.946,107.82,1276.383,3.266,110.689,217.294,496.94,2212.392,1307246464.0,6875185956108.676,7656.914,115.825,1407.057,3.529,109.467,99.411,512.465,2247.754,2386.868
2016-2016,India,India,1307246464.0,6875185956108.676,7656.914,115.825,1407.057,3.529,109.467,99.411,512.465,2247.754,1322866560.0,7391521128229.46,7922.428,117.508,1449.587,4.137,106.871,152.648,556.117,2386.868,2519.178
2017-2017,India,India,1322866560.0,7391521128229.46,7922.428,117.508,1449.587,4.137,106.871,152.648,556.117,2386.868,1338636288.0,8057465555113.433,8278.461,123.281,1499.401,3.756,113.622,164.52,614.597,2519.178,2547.878
2018-2018,India,India,1338636288.0,8057465555113.433,8278.461,123.281,1499.401,3.756,113.622,164.52,614.597,2519.178,1354195712.0,8550029707717.154,8594.206,121.047,1551.256,2.823,118.922,121.271,632.558,2547.878,2718.08
2019-2019,India,India,1354195712.0,8550029707717.154,8594.206,121.047,1551.256,2.823,118.922,121.271,632.558,2547.878,1369003264.0,9173201780735.316,9081.509,138.965,1668.318,2.49,126.201,125.022,657.084,2718.08,2708.915
2020-2020,India,India,1369003264.0,9173201780735.316,9081.509,138.965,1668.318,2.49,126.201,125.022,657.084,2718.08,1383112064.0,9595462849867.31,9310.841,143.664,1661.94,2.454,128.676,96.027,676.154,2708.915,2494.395
